isin,company,field,old,new,severity
INE0O6A01019,ITCONS E-Solutions Ltd.,ticker_bo,ITCONS,543806,BSE_FMT
INE0LKQ01012,Command Polymers Ltd.,ticker_bo,COMMAND,543843,BSE_FMT
INE1ABX01018,Unified Data-Tech Solutions Ltd.,ticker_bo,UNIFIED,544406,BSE_FMT
INE0QXT01018,Dolphin Kitchen Utensils and Appliances Ltd.,ticker_bo,DKUAL,544170,BSE_FMT
INE12IB01015,Infonative Solutions Ltd.,ticker_bo,INFONATIVE,544393,BSE_FMT
INE0SIK01014,Gujarat Peanut & Agri Products Ltd.,ticker_bo,GPAPL,544548,BSE_FMT
INE0UZO01024,Neetu Yoshi Ltd.,ticker_bo,NEETUYOSHI,544434,BSE_FMT
INE0NXA01015,Comrade Appliances Ltd.,ticker_bo,COMRADE,543921,BSE_FMT
INE0MNP01016,VVIP Infratech Ltd.,ticker_bo,VVIPIL,544219,BSE_FMT
INE0RJ901010,Srigee DLM Ltd.,ticker_bo,SRIGEE,544399,BSE_FMT
INE735W01017,Utkarsh Small Finance Bank Ltd.,listing_open,33.92,39.95,SOFT
INE916Y01027,Akme Fintrade (India) Ltd.,listing_open,12.57,125.70,SOFT
INE0YON01014,Malpani Pipes & Fittings Ltd.,ticker_bo,MALPANI,544351,BSE_FMT
INE1LJ801017,B.D.Industries (Pune) Ltd.,ticker_bo,BDI,544468,BSE_FMT
INE0O0201019,Urban Enviro Waste Management Ltd.,listing_open,70.5,141.00,SOFT
INE1F9M01018,Dachepalli Publishers Ltd.,ticker_bo,DACHEPALLI,544667,BSE_FMT
INE0O5T01011,Remus Pharmaceuticals Ltd.,listing_open,213.91,1711.25,SOFT
INE0NYN01016,ResGen Ltd.,ticker_bo,RESGEN,543805,BSE_FMT
INE0SRP01014,Telge Projects Ltd.,ticker_bo,TELGE,544544,BSE_FMT
INE00TV01023,Sudarshan Pharma Industries Ltd.,ticker_bo,SUDARSHAN,543828,BSE_FMT
INE1GUJ01014,Game Changers Texfab Ltd.,ticker_bo,TRADEUNO,544594,BSE_FMT
INE14QA01016,Ameenji Rubber Ltd.,ticker_bo,AMEENJI,544555,BSE_FMT
INE0PTF01017,Swastika Castal Ltd.,ticker_bo,SWASTIKAAL,544452,BSE_FMT
INE0QFT01015,AIK Pipes & Polymers Ltd.,ticker_bo,AIKPIPES,544072,BSE_FMT
INE0VWL01017,Chemkart India Ltd.,ticker_bo,CHEMKART,544442,BSE_FMT
INE0RYC01010,Stallion India Fluorochemicals Ltd.,listing_open,102.04,120.00,SOFT
INE0NQ401024,Avax Apparels & Ornaments Ltd.,ticker_bo,AVAX,544337,BSE_FMT
INE0NQ401024,Avax Apparels & Ornaments Ltd.,listing_open,16.63,133.00,SOFT
INE0MGA01012,Karnika Industries Ltd.,listing_open,16.2,81.00,SOFT
INE0NLJ01011,Labelkraft Technologies Ltd.,ticker_bo,LABELKRAFT,543830,BSE_FMT
INE00GK01023,Yash Highvoltage Ltd.,ticker_bo,YASHHV,544310,BSE_FMT
INE0QOQ01013,Finelistings Technologies Ltd.,ticker_bo,FTL,544173,BSE_FMT
INE0OLH01013,Macfos Ltd.,ticker_bo,ROBU,543787,BSE_FMT
INE0OLH01013,Macfos Ltd.,listing_open,167.27,184.00,SOFT
INE0PYT01018,Euphoria Infotech (India) Ltd.,ticker_bo,EUPHORIAIT,544094,BSE_FMT
INE0VYX01018,Nukleus Office Solutions Ltd.,ticker_bo,NUKLEUS,544370,BSE_FMT
INE0M7501019,City Crops Agro Ltd.,ticker_bo,CCAL,544000,BSE_FMT
INE0Q7P01013,Kody Technolab Ltd.,listing_open,85,170.00,SOFT
