isin,company_name,type,year,missing
INE0N7F01017,Homesfy Realty Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0N6D01014,Moxsh Overseas Educon Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0NCC01015,Arihant Academy Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE067901012,Uma Converter Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JHH01011,Dollex Agrotech Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MQD01015,Droneacharya Aerial Innovations Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0M2X01012,All E Technologies Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0NT601018,PNGS Gargi Fashion Jewellery Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0L2Y01011,Arham Technologies Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE029Q01017,Baheti Recycling Industries Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MJQ01020,Pritika Engineering Components Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0N6V01016,AMBO Agritec Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MXP01015,Technopack Polymers Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MTP01013,Amiable Logistics (India) Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0L4K01016,Vital Chemtech Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE975Z01012,DAPS Advertising Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE02EE01019,Integrated Personnel Services Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MRA01019,Rite Zone Chemcon India Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MLZ01019,Phantom Digital Effects Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0NC801013,Vedant Asset Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0N1L01018,Pace E-Commerce Ventures Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE385O01018,Frog Cellsat Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0DGC01025,Swastik Pipe Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0DTQ01028,Lloyds Luxuries Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MNV01014,Silicon Rental Solutions Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KZM01011,Cargosol Logistics Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0FMW01018,QMS Medical Allied Services Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE075Z01011,Cyber Media Research & Services Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0N0J01014,Concord Control Systems Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0M4L01013,Cargotrans Maritime Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MKO01015,Reetech International Cargo & Courier Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
