symbol,original_symbol,yahoo_date,yahoo_ratio,is_bse_code,status
RAJRILTD,RAJRILTD.NS,2013-03-04,10.0,False,YAHOO_ONLY
RAJRILTD,RAJRILTD.NS,2021-10-25,0.01,False,YAHOO_ONLY
RMMIL,RMMIL.NS,2010-09-15,10.0,False,YAHOO_ONLY
RMMIL,RMMIL.NS,2012-06-14,0.1,False,YAHOO_ONLY
ROLEXRINGS,ROLEXRINGS.NS,2025-09-19,10.0,False,YAHOO_ONLY
ROLEXRINGS,ROLEXRINGS.NS,2025-10-03,10.0,False,YAHOO_ONLY
ROML,ROML.NS,2018-06-28,0.05,False,YAHOO_ONLY
RPEL,RPEL.NS,2024-11-14,2.0,False,YAHOO_ONLY
SEJALLTD,SEJALLTD.NS,2010-10-21,10.0,False,YAHOO_ONLY
SEJALLTD,SEJALLTD.NS,2011-11-09,0.1,False,YAHOO_ONLY
SEJALLTD,SEJALLTD.NS,2021-05-07,0.00298062,False,YAHOO_ONLY
SELMC,SELMC.NS,2021-03-09,0.001,False,YAHOO_ONLY
SHALBY,SHALBY.NS,2022-12-22,1.2,False,YAHOO_ONLY
SHEKHAWATI,SHEKHAWATI.NS,2024-08-28,0.1,False,YAHOO_ONLY
SOLARINDS,SOLARINDS.NS,2016-07-13,5.0,False,YAHOO_ONLY
SUNTV,SUNTV.NS,2007-07-23,2.0,False,YAHOO_ONLY
SWANDEF,SWANDEF.NS,2023-03-17,0.0036363636363636,False,YAHOO_ONLY
SWANDEF,SWANDEF.NS,2023-07-14,0.0036363636363636,False,YAHOO_ONLY
TATASTEEL,TATASTEEL.NS,2004-08-11,1.5,False,YAHOO_ONLY
TOUCHWOOD,TOUCHWOOD.NS,2019-08-22,2.5,False,YAHOO_ONLY
UEL,UEL.NS,2012-12-21,10.0,False,YAHOO_ONLY
UEL,UEL.NS,2023-11-03,0.0015,False,YAHOO_ONLY
UNIVASTU,UNIVASTU.NS,2025-08-29,1.5,False,YAHOO_ONLY
USASEEDS,USASEEDS.NS,2025-09-26,1.4285714285714286,False,YAHOO_ONLY
VERTOZ,VERTOZ.NS,2025-06-25,0.1,False,YAHOO_ONLY
VISHWARAJ,VISHWARAJ.NS,2021-09-08,5.0,False,YAHOO_ONLY
WAAREEINDO,WAAREEINDO.NS,2022-06-27,0.01,False,YAHOO_ONLY
