scrip_id,Scrip_Name,ISIN_NUMBER,GROUP
HDFCNEXT50,HDFC Mutual Fund,INF179KC1HS2,B
INFRAIETF,ICICI Prudential Nifty Infrastructure ETF,INF109KC16E5,B
SYRMA,Syrma SGS Technology Ltd,INE0DYJ01015,A
NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,INF209KB15K4,B
MOMENTUM,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,INF209KB14K7,B
MOVALUE,Motilal Oswal BSE Enhanced Value ETF,INF247L01BE5,B
MOQUALITY,Motilal Oswal BSE Quality ETF,INF247L01BH8,B
OLATECH,Olatech Solutions Ltd,INE0M3901015,M
RHETAN,Rhetan TMT Ltd,INE0KKN01029,B
DREAMFOLKS,Dreamfolks Services Ltd,INE0JS101016,B
DBOL,Dhampur Bio Organics Ltd,INE0I3401014,T
DPL,Dipna Pharmachem Ltd,INE0MC401013,M
EPBIO,EP Biocomposites Ltd,INE0D2I01014,M
TMB,Tamilnad Mercantile Bank Ltd,INE668A01016,A
VOEPL,Virtuoso Optoelectronics Ltd,INE0I0T01010,M
SISL,Shantidoot Infra Services Ltd,INE0LU301014,MT
KSOLVES,Ksolves India Ltd,INE0D6I01023,B
HARSHA,Harsha Engineers International Ltd,INE0JUS01029,B
HDFCQUAL,HDFC NIFTY100 Quality 30 ETF,INF179KC1DL6,B
CONTAINE,Containe Technologies Ltd,INE0M8901010,MT
HDFCGROWTH,HDFC NIFTY Growth Sectors 15 ETF,INF179KC1DJ0,B
HDFCVALUE,HDFC NIFTY50 Value 20 ETF,INF179KC1DK8,B
MAFIA,Mafia Trends Ltd,INE0KQQ01011,M
TIPSFILMS,Tips Films Ltd,INE0LQS01015,B
SRSOLTD,Silicon Rental Solutions Ltd,INE0MNV01014,MT
TLL,Trident Lifeline Ltd,INE0MKA01014,M
REETECH,Reetech International Ltd,INE0MKO01015,M
CARGOTRANS,Cargotrans Maritime Ltd,INE0M4L01013,M
CNCRD,Concord Control Systems Ltd,INE0N0J01014,M
INA,Insolation Energy Ltd,INE0LGX01024,B
CARGOSOL,Cargosol Logistics Ltd,INE0KZM01011,M
STML,Steelman Telecom Ltd,INE0MSK01016,M
VEDANTASSET,Vedant Asset Ltd,INE0NC801013,MT
EMIL,Electronics Mart India Ltd,INE02YR01019,A
HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF,INF179KC1HU8,B
HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF,INF179KC1HV6,B
PPLPHARMA,Piramal Pharma Ltd,INE0DK501011,A
DCI,Dc Infotech and Communication Ltd,INE0A1101019,T
PACE,Pace E-Commerce Ventures Ltd,INE0N1L01018,MT
TRACXN,Tracxn Technologies Ltd,INE0HMF01019,B
NARMADA,Narmada Agrobase Ltd,INE117Z01011,B
INFOBEAN,Infobeans Technologies Ltd,INE344S01016,B
HPIL,Hindprakash Industries Ltd,INE05X901010,B
DCXINDIA,DCX Systems Ltd,INE0KL801015,B
DAPS,DAPS Advertising Ltd,INE975Z01012,MT
FUSION,Fusion Finance Ltd,INE139R01012,B
BIKAJI,Bikaji Foods International Ltd,INE00E101023,A
MEDANTA,Global Health Ltd,INE474Q01031,A
TECHNOPACK,Technopack Polymers Ltd,INE0MXP01015,M
ACI,Archean Chemical Industries Ltd,INE128X01021,A
FIVESTAR,Five-Star Business Finance Ltd,INE128S01021,A
KAYNES,Kaynes Technology India Ltd,INE918Z01012,A
HDFCNIFIT,HDFC NIFTY IT ETF,INF179KC1IA8,B
HDFCPVTBAN,HDFC NIFTY Private Bank ETF,INF179KC1HZ7,B
INOXGREEN,Inox Green Energy Services Ltd,INE510W01014,A
BBTCL,B&B Triplewall Containers Ltd,INE01EE01011,B
RUSTOMJEE,Keystone Realtors Ltd,INE263M01029,B
VINNY,Vinny Overseas Ltd,INE01KI01027,B
AAATECH,AAA Technologies Ltd,INE0D0U01013,B
FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF,INF109KC17L8,B
AMBOAGRI,Ambo Agritec Ltd,INE0N6V01016,M
SIRCA,Sirca Paints India Ltd,INE792Z01011,B
DHARMAJ,Dharmaj Crop Guard Ltd,INE00OQ01016,B
SARVESHWAR,Sarveshwar Foods Ltd,INE324X01026,T
UNIPARTS,Uniparts India Ltd,INE244O01017,B
GARGI,PNGS Gargi Fashion Jewellery Ltd,INE0NT601018,M
COMMOIETF,ICICI Prudential Nifty Commodities ETF,INF109KC19O8,B
SULA,Sula Vineyards Ltd,INE142Q01026,A
AFSL,Abans Financial Services Ltd,INE00ZE01026,B
DRONACHRYA,Droneacharya Aerial Innovations Ltd,INE0MQD01015,M
LANDMARK,Landmark Cars Ltd,INE559R01029,B
KFINTECH,KFin Technologies Ltd,INE138Y01010,A
ELIN,Elin Electronics Ltd,INE050401020,B
RADIANTCMS,Radiant Cash Management Services Ltd,INE855R01021,B
AVEER,Aveer Foods Ltd,INE09BN01011,X
BANKADD,DSP Nifty Bank ETF,INF740KA1RX3,B
AERONEU,Aeroflex Neu Ltd,INE035801013,B
REXSEAL,Rex Sealing and Packing Industries Ltd,INE0MFT01014,M
SVS,SVS Ventures Ltd,INE0MID01012,M
LOGICA,Logica Infoway Ltd,INE0BSU01018,M
KAMOPAINTS,Kamdhenu Ventures Ltd,INE0BTI01037,B
AARTIPHARM,Aarti Pharmalabs Ltd,INE0LRU01027,A
DHARNI,Dharni Capital Services Ltd,INE0M9Q01011,M
TRANSVOY,Transvoy Logistics India Ltd,INE0MPU01011,M
EARTH,Earthstahl & Alloys Ltd,INE0O4V01010,M
ASHIKA,Ashika Credit Capital Ltd,INE094B01013,B
BTML,Bodhi Tree Multimedia Ltd,INE0EEJ01023,B
NSLNISP,NMDC Steel Ltd,INE0NNS01018,A
INDONG,Indong Tea Company Ltd,INE0KN201016,M
HDFCBSE500,HDFC BSE 500 ETF,INF179KC1EZ4,B
HDFCSML250,HDFC NIFTY Smallcap 250 ETF,INF179KC1FB2,B
HDFCMID150,HDFC NIFTY Midcap 150 ETF,INF179KC1HT0,B
SEALMATIC,Sealmatic India Ltd,INE0O4601016,M
ROBU,Macfos Ltd,INE0OLH01013,M
